Financing Country  (and entity),Financing Country,Institution,Project Name ,MW, Amount (in USD)  , Amount Sources , Estimated Amount2 , Total Project Value , TPV Sources , EPC Revenue , Insurance cover ,Financial Close Date,Year Financed,Region ,Recipient Country ,Recipient Subregion,Sponsors/Parents,Project Sponsor (GCPT)2,EPC Company,Generator Manufacturer,Turbine Maker,Boiler Maker,Sector Group ,Sector ,Latitude,Longitude,Location Accuracy,Phase ID,URL,Source 1,Source 2,Source 3+,GEMTrackerIDs,GEMTrackerLOC,Other and Chinese Names,OpYEAR,Plant Type ,Coal Mine Size (Mtpa)
China,China,Export Import Bank of China (Chexim),Bishkek CHP power station (300MW),300,"$386,000,000 ",,,,,,,1/1/2017,2017,Europe & Central Asia,Kyrgyzstan,Bishkek,OAO ELECTRICHESKIYE STANTSII,,Harbin Electrical Equipment (HARBIN),Harbin Electrical Equipment (HARBIN),Harbin Electrical Equipment (HARBIN),,Coal Power Plant,,42.871747,74.654957,exact,PH012.01,http://bit.ly/1sSN8XU,http://24.kg/archive/en/community/175354-news24.html/,https://www.sourcewatch.org/index.php/Bishkek_power_station,,,L103003,,2017,Subcritical,
China,China,China Three Gorges,Huapan Coal plant (600MW),600,,,,,,,,12/31/2016,2016,Southeast Asia,Laos,,,#N/A,,,,,Coal Power Plant,Coal Power Plant - New,20.3333,103.833,approximate,PH378.01,,http://www.cec.org.cn/zdlhuiyuandongtai/fadian/2018-06-13/181666.html,http://www.cwe.cn/contents/important-news/5004.html,https://www.gem.wiki/Houaphanh_power_station,,,Œ_¾_÷É_Óµ = Huapan,,,
China,China,TBD,TSBP Sekong Power (600MW),600,,,,,,,,1/1/1950,2050,Southeast Asia,Laos,,SPV: TSBP Sekong Power and Mineral Co (TSPMCL),,,,,,Coal Power Plant,Coal Power Plant - New,15.7166,106.65,Approximate,PH348.01,http://bit.ly/2Ng3HRy,https://energycentral.com/news/kingdom-okays-2400mw-power-purchase-laos,https://vodenglish.news/electricity-capacity-to-expand-with-laos-coal-deal/,https://ijglobal.com/articles/143167/details-emerge-on-southeast-asia-coal-fired-projects?from=share,G114493,L104672,,2025 or 2026,,
China,China,TBD,Xekong Thermal Power Plant (1800MW),1800,,,,,,,,1/1/1950,2050,Southeast Asia,Laos,,SPV: Xekong Thermal Power Plant Co (XTPPCL),#N/A,,,,,Coal Power Plant,Coal Power Plant - New,15.58355,106.955102,province,PH347.01,https://www.gem.wiki/Xekong_power_station,https://ijglobal.com/articles/143167/details-emerge-on-southeast-asia-coal-fired-projects?from=share,,,,?,,2024-2027,,
Germany,Germany,Kreditanstalt fÌ_r Wiederaufbau (KfW),Brod Gneotino Lignite Mine,,"$21,795,163 ",,,,,,,2/22/2007,2007,Europe & Central Asia,Macedonia,,Macedonia Electricity Producer (ELEM),#N/A,,,,,Coal Mining,Coal Mining,,,,,,https://www.kfw.de/KfW-Group/Newsroom/Aktuelles/Pressemitteilungen/Pressemitteilungen-Details_10531.html,http://www.elem.com.mk/index.php?option=com_content&view=article&id=76&Itemid=115&lang=en,,,,,,,33
Germany (old),Germany (old),Kreditanstalt fÌ_r Wiederaufbau (KfW),Construction of a new district heating system (Energy Efficiency and Renewables Programme ‰ÛÒ Phase IV),,"$75,753,000 ",,,,,,,1/1/1950,2050,Europe & Central Asia,Macedonia,,Not identified,#N/A,,,,,Coal - Other/Unspecified,Coal-fired district heating,,,,NA,,Parliamentary Inquiry,,,,,,,,
Multilateral,Multilateral,World Bank - International Development Association,Additional Financing for the Mineral Resources Governance Project,,"$1,120,000 ",,,,,,,5/22/2007,2007,Sub-Saharan Africa,Madagascar,,Republic of Madagascar,#N/A,,,,,Coal - Other/Unspecified,Coal - Policy,,,,,,http://www.worldbank.org/projects/P104983/additional-financing-mineral-resources-governance-project?lang=en,http://www.worldbank.org/projects/P104983/additional-financing-mineral-resources-governance-project?lang=en,,,,,,,
China (Equity+EPC),China,PowerChina,Imaloto Coal Plant (100MW),100,,,,,,,,1/1/1950,2050,Sub-Saharan Africa,Madagascar,,"Lemur (Bushveld), SinoHydro (PowerChina)",#N/A,PowerChina,,,,Coal Power Plant,,-23.452222,45.078056,approximate,PH368.01,https://www.gem.wiki/Imaloto_Coal_power_station,Urgewald GCEL,,,,,,,,
China,China,Export Import Bank of China (Chexim),"Kamwamba Coal Plant, Zalewa Phase I (300MW)",300,"$667,000,000 ",,,,,,,1/1/1950,2050,Sub-Saharan Africa,Malawi,"Zalewa, Neno","Government of Malawi (85%), China Energy Engineering Corporation (15%) (EnergyChina)",,China Gezhouba,,,,Coal Power Plant,Coal Power Plant - New,-16.166667,35.166667,exact,PH075.01,https://www.gem.wiki/Kamwamba_power_station,https://webcache.googleusercontent.com/search?q=cache:sYn2KxVGDpsJ:https://mwnation.com/govt-to-go-solo-on-kammwamba/+&cd=1&hl=en&ct=clnk&gl=ch,,https://ijglobal.com/articles/131717?utm_source=MyIJGlobal%20newsletter&utm_medium=email%20editorial&utm_content=Editorial&utm_campaign=IJ27807&N.rID=%40IBUlTJxgq2TyH0xm8yiHtg%3D%3D,,L103012,,2022,Subcritical,
China,China,Export Import Bank of China (Chexim),"Kamwamba Coal Plant, Zalewa Phase II (700MW)",700,,,,"$600,000,000 ",,,,1/1/1999,2099,Sub-Saharan Africa,Malawi,"Zalewa, Neno","Government of Malawi (85%), China Energy Engineering Corporation (15%)",,China Gezhouba,,,,Coal Power Plant,Coal Power Plant - New,-16.166667,35.166667,exact,PH075.02,https://www.gem.wiki/Kamwamba_power_station,https://webcache.googleusercontent.com/search?q=cache:sYn2KxVGDpsJ:https://mwnation.com/govt-to-go-solo-on-kammwamba/+&cd=1&hl=en&ct=clnk&gl=ch,https://www.construction-ic.com/HomePage/Projects?ReturnUrl=%2FProjects%2FOverview%2F158448%3Futm_source%3Dworldconstructionnetwork%26utm_medium%3DReferral%26utm_campaign%3DMERA%2B%25E2%2580%2593%2BKam%25E2%2580%2599mwamba%2BCoal%2BFired%2BPower%2BPlant%2B1000%2BMW%2B%25E2%2580%2593%2BMalawi&utm_source=worldconstructionnetwork&utm_medium=Referral&utm_campaign=MERA%20%E2%80%93%20Kam%E2%80%99mwamba%20Coal%20Fired%20Power%20Plant%201000%20MW%20%E2%80%93%20Malawi,,,L103012,,,Subcritical,
Japan,Japan,Japan Bank for International Cooperation (JBIC),Japan-CFE 2010/11 line of credit involving coal-fired plant,,"$39,300,000 ",,,,,,,1/1/2010,2010,Latin America & Caribbean,Mexico,,Not identified,#N/A,,,,,Coal Power Plant,Coal Power Plant - Existing,,,,,,,,,,,,,,
Japan,Japan,Japan Bank for International Cooperation (JBIC),Pacifico Coal Power Plant (350MW),350,"$273,000,000 ",,,,,,,3/23/2010,2010,Latin America & Caribbean,Mexico,,Mitsubishi,#N/A,,,,,Coal Power Plant,Coal Power Plant - New,,,,,,https://www.jbic.go.jp/ja/information/press/press-2009/0323-6441,"http://sekitan.jp/jbic/wp-content/uploads/2014/01/Lists-of-Approved-Coal-Investments-by-JBIC-April-2015.pdf
http://www.mhi.co.jp/en/news/sec1/200602071095.html",,,,,,,
Italy,Italy,Servizi Assicurativi del Commercio Estero (SACE),Petacalco Power Station: ashes extraction and transportation system relating to the boilers,,"$5,800,000 ",,,,,,,1/1/2010,2010,Latin America & Caribbean,Mexico,,Not identified,#N/A,,,,,Coal - Other/Unspecified,Other,,,,,,,,,,,,,,
Japan,Japan,Japan Bank for International Cooperation (JBIC),Japan-CFE unidentified supply to existing caol-fired power plant,,"$6,000,000 ",,,,,,,1/1/2012,2012,Latin America & Caribbean,Mexico,,Not identified,#N/A,,,,,Coal Power Plant,Coal Power Plant - Existing,,,,,,,,,,,,,,
Japan (Commercial),Japan (Commercial),Sumitomo Mitsui Banking Corporation,Pesqueria Gas-Fired Power Plant (129MW),129,"$1,670,000 ",,,,,,,6/28/2018,2018,Latin America & Caribbean,Mexico,,,#N/A,,,,,Gas,Gas-Fired,,,,43627,,https://ijglobal.com/data/transaction/43627/pesqueria-gas-fired-power-plant-129mw,,,,,,,,
Japan (Commercial),Japan (Commercial),Sumitomo Mitsui Banking Corporation,Pesqueria Gas-Fired Power Plant (129MW),129,"$1,670,000 ",,,,,,,6/28/2018,2018,Latin America & Caribbean,Mexico,,,#N/A,,,,,Gas,Gas-Fired,,,,43627,,https://ijglobal.com/data/transaction/43627/pesqueria-gas-fired-power-plant-129mw,,,,,,,,
Japan (Commercial),Japan (Commercial),Sumitomo Mitsui Banking Corporation,Pesqueria Gas-Fired Power Plant (129MW),129,"$3,330,000 ",,,,,,,6/28/2018,2018,Latin America & Caribbean,Mexico,,,#N/A,,,,,Gas,Gas-Fired,,,,43627,,https://ijglobal.com/data/transaction/43627/pesqueria-gas-fired-power-plant-129mw,,,,,,,,
Japan (Commercial),Japan (Commercial),Sumitomo Mitsui Banking Corporation,Pesqueria Gas-Fired Power Plant (129MW),129,"$35,330,000 ",,,,,,,6/28/2018,2018,Latin America & Caribbean,Mexico,,,#N/A,,,,,Gas,Gas-Fired,,,,43627,,https://ijglobal.com/data/transaction/43627/pesqueria-gas-fired-power-plant-129mw,,,,,,,,
Private or Other,Private or Other,Milbank Tweed Hadley & McCloy,Pesqueria Gas-Fired Power Plant (129MW),129,"$126,000,000 ",,,,,,,6/28/2018,2018,Latin America & Caribbean,Mexico,,,#N/A,,,,,Gas,Gas-Fired,,,,43627,,https://ijglobal.com/data/transaction/43627/pesqueria-gas-fired-power-plant-129mw,,,,,,,,
Private or Other,Private or Other,Natixis,Pesqueria Gas-Fired Power Plant (129MW),129,"$1,670,000 ",,,,,,,6/28/2018,2018,Latin America & Caribbean,Mexico,,,#N/A,,,,,Gas,Gas-Fired,,,,43627,,https://ijglobal.com/data/transaction/43627/pesqueria-gas-fired-power-plant-129mw,,,,,,,,
Private or Other,Private or Other,Natixis,Pesqueria Gas-Fired Power Plant (129MW),129,"$1,670,000 ",,,,,,,6/28/2018,2018,Latin America & Caribbean,Mexico,,,#N/A,,,,,Gas,Gas-Fired,,,,43627,,https://ijglobal.com/data/transaction/43627/pesqueria-gas-fired-power-plant-129mw,,,,,,,,
Private or Other,Private or Other,Natixis,Pesqueria Gas-Fired Power Plant (129MW),129,"$3,330,000 ",,,,,,,6/28/2018,2018,Latin America & Caribbean,Mexico,,,#N/A,,,,,Gas,Gas-Fired,,,,43627,,https://ijglobal.com/data/transaction/43627/pesqueria-gas-fired-power-plant-129mw,,,,,,,,
Private or Other,Private or Other,Natixis,Pesqueria Gas-Fired Power Plant (129MW),129,"$35,330,000 ",,,,,,,6/28/2018,2018,Latin America & Caribbean,Mexico,,,#N/A,,,,,Gas,Gas-Fired,,,,43627,,https://ijglobal.com/data/transaction/43627/pesqueria-gas-fired-power-plant-129mw,,,,,,,,
South Korea,South Korea,Korea Development Bank,Pesqueria Gas-Fired Power Plant (129MW),129,"$1,670,000 ",,,,,,,6/28/2018,2018,Latin America & Caribbean,Mexico,,,#N/A,,,,,Gas,Gas-Fired,,,,43627,,https://ijglobal.com/data/transaction/43627/pesqueria-gas-fired-power-plant-129mw,,,,,,,,
South Korea,South Korea,Korea Development Bank,Pesqueria Gas-Fired Power Plant (129MW),129,"$1,670,000 ",,,,,,,6/28/2018,2018,Latin America & Caribbean,Mexico,,,#N/A,,,,,Gas,Gas-Fired,,,,43627,,https://ijglobal.com/data/transaction/43627/pesqueria-gas-fired-power-plant-129mw,,,,,,,,
South Korea,South Korea,Korea Development Bank,Pesqueria Gas-Fired Power Plant (129MW),129,"$3,330,000 ",,,,,,,6/28/2018,2018,Latin America & Caribbean,Mexico,,,#N/A,,,,,Gas,Gas-Fired,,,,43627,,https://ijglobal.com/data/transaction/43627/pesqueria-gas-fired-power-plant-129mw,,,,,,,,
South Korea,South Korea,Korea Development Bank,Pesqueria Gas-Fired Power Plant (129MW),129,"$35,330,000 ",,,,,,,6/28/2018,2018,Latin America & Caribbean,Mexico,,,#N/A,,,,,Gas,Gas-Fired,,,,43627,,https://ijglobal.com/data/transaction/43627/pesqueria-gas-fired-power-plant-129mw,,,,,,,,
Multilateral,Multilateral,European Bank for Reconstruction and Development,Mongolian Gold MAK,,"$29,200,000 ",,,,,,,12/6/2007,2007,Central Asia & Caucasus,Mongolia,,Mongolian Gold MAK,#N/A,,,,,Coal Mining,Coal Mining,,,,,,http://www.ebrd.com/work-with-us/projects/psd/mak.html,,,,,,,,
Multilateral,Multilateral,European Bank for Reconstruction and Development,Mongolia Mining Corporation (f. Energy Resources),,"$18,573,100 ",,,,,,,2/10/2009,2009,Central Asia & Caucasus,Mongolia,,Energy Resources LLC,#N/A,,,,,Coal Mining,Coal Mining,,,,,,http://www.ebrd.com/work-with-us/projects/psd/mongolia-mining-corporation.html,,,,,,,,
Multilateral,Multilateral,European Bank for Reconstruction and Development,Energy Resources Phase II,,"$112,709,520 ",,,,,,,5/12/2010,2010,Central Asia & Caucasus,Mongolia,,Energy Resources LLC,#N/A,,,,,Coal Mining,Coal Mining,,,,,,http://www.ebrd.com/work-with-us/projects/psd/energy-resources-phase-ii.html,http://www.ebrd.com/pages/project/eia/39820.pdf,,,,,,,0
Multilateral,Multilateral,European Bank for Reconstruction and Development,Leighton Mongolia,,"$15,766,620 ",,,,,,,1/21/2010,2010,Central Asia & Caucasus,Mongolia,,Leighton Mongolia,#N/A,,,,,Coal Mining,Coal Mining,,,,,,http://www.ebrd.com/work-with-us/projects/psd/leighton-mongolia.html,,,,,,,,
Multilateral,Multilateral,World Bank - International Development Association,MN-Mining Infrastructure Investment Supp,,"$11,250,000 ",,,,,,,5/10/2011,2011,Central Asia & Caucasus,Mongolia,,Government of Mongolia,#N/A,,,,,Coal Mining,Coal Mining,,,,,,http://www.worldbank.org/projects/P118109/mn-mining-infrastructure-investment-supp?lang=en&tab=overview,http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2011/02/04/000020953_20110204090502/Rendered/PDF/594270PID0MN0mining0infrastructure0rev.pdf Tavan Tolgoi mine has a total estimated resource of 6.4 billion tonnes (see: http://en.wikipedia.org/wiki/Tavan_Tolgoi).,,,,,,,
Multilateral,Multilateral,World Bank - International Finance Corporation,Tavan Tolgoi Power Plant (300MW),300,"$28,000,000 ",,,,,,,2/28/2013,2013,Central Asia & Caucasus,Mongolia,,"Oyu Tolgoi, LLC",#N/A,,,,,Coal Power Plant,Coal Power Plant - New,,,,PH120.01,,https://ifcndd.ifc.org/ifcext/spiwebsite1.nsf/78e3b305216fcdba85257a8b0075079d/f31022fd70f070f785257a62005d3f59?opendocument,,,,,,,,
Japan,Japan,Japan International Cooperation Agency (JICA),Yakutugol coal mine -Electric Mining Shovel,,"$42,010,000 ",,,,,,,11/15/2013,2013,Central Asia & Caucasus,Mongolia,,Government of Mongolia,#N/A,,,,,Coal Mining,Coal Mining,,,,PH177.01,,http://www.exim.gov/newsandevents/boardmeetings/board/boardmeeting-agenda.cfm?pageID=37064,,,,,,,,
China (majority bank),China,Industrial and Commercial Bank of China (ICBC),Mongolian Mining Corporate Refinancing 2014,,"$50,000,000 ",,,,,,,3/1/2014,2014,Central Asia & Caucasus,Mongolia,,Mongolian Mining Corporation,#N/A,,,,,Coal Mining,Coal Mining,,,,PH214.01,,https://ijglobal.com/data/transaction/32854/mongolian-mining-corporate-refinancing-2014,,,,,,,,
Multilateral,Multilateral,Asian Development Bank (ADB),Coal to Cleaner Fuel Conversion for Heating in Ger District and Power Generation,,"$350,000 ",,,,,,,12/4/2014,2014,Central Asia & Caucasus,Mongolia,,Mongolia Ministry of Mining and Energy,#N/A,,,,,Coal Mining,Coal Mining,,,,PH205.01,,,http://www.adb.org/sites/default/files/project-document/150799/48029-001-tar.pdf,,,,,,,
Russia,Russia,Russian Development Bank (VEB),Ulaanbaatar CHP4 Power Plant (570MW),570,"$20,000,000 ",,,,,,,6/18/2015,2015,Europe & Central Asia,Mongolia,," 
Mongolian Development Bank",,,,Tubrbomotornyj Zavod (TMZ),Barnaul'skij Energomashinostroitel'nyj Zavod (BARNAUL),Coal Power Plant,Coal power plant - new ,47.8938,106.8036,,PH170.01,http://bit.ly/1rFGTdR,http://www.sourcewatch.org/index.php/Ulaanbaatar_Thermal_Power_Plant_No._4,http://www.veb.ru/en/press/news/?id_19=100787&filter_year_20=2015&from_20=8 http://veb.ru/common/upload/files/veb/reports/annual/VEB_Annual_2015_eng.pdf (pp. 19 & 35),,,L103044,,,Subcritical,
China (equity),China,CSCEC,Buuruljuut power station,300,,,,,,,,1/1/1950,2050,Europe & Central Asia,Mongolia,Dundgovi,"Bodi International, China State Construction Engineering Group",Tsetsens Mining & Energy,,,,,Coal Power Plant,,45.75667,107.9931,Approximate,PH404.01,https://www.gem.wiki/Buuruljuut_power_station,http://www.oecd.org/officialdocuments/publicdisplaydocumentpdf/?cote=ENV/EPOC/EAP(2019)10&doclanguage=en,https://gia.gov.mn/en/12/item/536,https://monenergy.mn/?p=1558,G101138-9,L103034,,,Unknown,
Multilateral,Multilateral,Asian Development Bank (ADB),CANCELLED - Ulaanbaatar CHP5 Power Plant (463.5MW),0,"$150,000,000 ",,,,,,,1/1/1950,2050,Central Asia & Caucasus,Mongolia,,"GDF Suez, Sojitz, POSCO and Newcom",#N/A,,,,,Coal Power Plant,Coal Power Plant - New,47.9259478,107.0494938,,PH169.01,https://www.gem.wiki/Ulaanbaatar_Thermal_Power_Plant_No._5,https://www.adb.org/projects/46915-014/main,https://ijglobal.com/data/transaction/31251/ulaanbaatar-chp5-power-plant,https://www.jica.go.jp/english/our_work/social_environmental/id/asia/east/mongolia/c8h0vm0000bh45ri-att/c8h0vm0000bzckyg.pdf,,L103046,,2020,Subcritical,
Multilateral,Multilateral,European Bank for Reconstruction and Development,CANCELLED - Ulaanbaatar CHP5 Power Plant (463.5MW),0,,,,,,,,1/1/1950,2050,Central Asia & Caucasus,Mongolia,,"GDF Suez, Sojitz, POSCO and Newcom",#N/A,,,,,Coal Power Plant,Coal Power Plant - New,47.9259478,107.0494938,,PH169.01,https://www.gem.wiki/Ulaanbaatar_Thermal_Power_Plant_No._5,https://www.adb.org/projects/46915-014/main#project-pds,https://ijglobal.com/data/transaction/31251/ulaanbaatar-chp5-power-plant,https://www.jica.go.jp/english/our_work/social_environmental/id/asia/east/mongolia/c8h0vm0000bh45ri-att/c8h0vm0000bzckyg.pdf,,L103046,,2020,Subcritical,
China,China,China State Construction,Shinejinst Coal Mine,,,,,,,,,1/1/1950,2050,Central Asia & Caucasus,Mongolia,,China State Construction,#N/A,,,,,Coal Mining,Coal - mining,44.545779,99.284008,approximate,PH341.01,,https://en.cscec.com/CompanyNews/CorporateNews/201905/2931779.html,,,,,Šü_ŒÝ_ŒÈ¼_ÔâÁŠÈ_¾ÏäŽªŒÉÂŒü http://www.cscec.com.cn/?lang=zh,,,
Germany (old),Germany (old),Kreditanstalt fÌ_r Wiederaufbau (KfW),Efficiency and environmental measures in the Mongolian power plant fleet,,"$39,870,000 ",,,,,,,1/1/1950,2050,Central Asia & Caucasus,Mongolia,,Not identified,#N/A,,,,,Coal Power Plant,Coal Power Plant Emissions Control,,,,PH208.01,,Parliamentary Inquiry,,,,,,,,
China,China,Export Import Bank of China (Chexim),Erdenet Coal Plant (50MW),50,"$45,050,000 ",,,,,,,4/10/2018,2018,Europe & Central Asia,Mongolia,,,,,,,,Coal Power Plant,Coal Power Plant - Expansion,49.0408,104.098,exact,PH358.01,https://www.gem.wiki/Erdenet_power_station,"Oil Change International Database
",http://mongolia.gogo.mn/r/152099    ,,,L103040,,,#ERROR!,
China,China,TBD,Tavan Tolgoi Rio Tinto (300MW),300,,,,,,,,1/1/1950,2050,Europe & Central Asia,Mongolia,,Turqouise Hill Resources (Rio Tinto),,,,,,Coal Power Plant,Coal Power Plant - New,43.625,105.474167,,PH337.01,https://www.gem.wiki/Tavan_Tolgoi_power_station_(Rio_Tinto),https://ijglobal.com/data/transaction/50791/tavan-tolgoi-coal-fired-power-plant-300mw,,,,L103038,,2023,#ERROR!,
Japan,Japan,TBD,Tavan Tolgoi Marubeni Coal Plant (600MW),600,"$1,000,000,000 ",,,"$500,000,000 ",,,,1/1/1953,2053,Central Asia & Caucasus,Mongolia,Omnogovi,,#N/A,Marubeni Corp (MARUBENI),,,,Coal Power Plant,Coal Power Plant - New,43.625,105.474167,,PH156.01,https://www.gem.wiki/Tavan_Tolgoi_power_station_(Marubeni),https://bankwatch.org/sites/default/files/Mongolia-energy-sector-web.pdf,https://montsame.mn/en/read/175431,,,L103039,,2023,Subcritical,
United States,United States,Export-Import Bank of the United States (EXIM),Tavan Tolgoi Power Plant (300MW),300,,,,,,,,1/1/1954,2054,Central Asia & Caucasus,Mongolia,,Oyu Tolgoi LLC,#N/A,,,,,Coal Power Plant,Coal Power Plant - Existing,43.00833,106.843056,,PH120.01,,,,,,,,,,
,,,Shivee Ovoo power station,5280,,,,,,,,,2055,Europe & Central Asia,Mongolia,Govisumber,"Aq Sora, Erdenes Mongol",Erdenes Shivee Energy,,,,,Coal Power Plant,,46.2333,108.5368,Approximate,,https://www.gem.wiki/Shivee_Ovoo_power_station,https://gia.gov.mn/en/12/item/536,,,G109292,L103036,,,Unknown,
China,China,China Development Bank,Nishat Rahim Yar Khan Power plant (660MW),660,,,,,,,,1/1/2000,2100,South Asia,Pakistan,,"Nishat Group, China TBEA",#N/A,,,,,Coal Power Plant,Coal Power Plant - New,28.935,70.941,approximate,PH360.01,https://www.gem.wiki/Nishat_Rahim_Yar_Khan_power_station,,,,,???,,,,
China,China,TBD,Rahim Yar Khan Power plant (1320MW),1320,,,,"$956,000,000 ",,,,1/1/2000,2100,South Asia,Pakistan,,,#N/A,,,,,Coal Power Plant,Coal Power Plant - New,28.935,70.941,exact,PH136.01,http://bit.ly/2syBRat,https://tribune.com.pk/story/1330482/cpec-energy-projects-pakistan-china-revise-priority-list/,https://www.sourcewatch.org/index.php/Rahim_Yar_Khan_power_station,https://ijglobal.com/data/transaction/45282/rahim-yar-khan-coal-fired-power-plant-1320mw,,L103131,,,Supercritical,
China (EPC),China,Harbin Electric,Arkyiai Coal-Fired Power Plant (500MW),500,,,,,,,,1/1/2000,2100,Sub-Saharan Africa,Sudan,Red Sea,SUDANESE THERMAL POWER GEN CO,#N/A,Harbin Electrical Equipment (HARBIN),Harbin Electrical Equipment (HARBIN),Harbin Electrical Equipment (HARBIN),Harbin Electrical Equipment (HARBIN),Coal Power Plant,Coal Power Plant - New,19.583333,35.616667,exact,PH006.01,http://bit.ly/1ka33CU,https://www.sourcewatch.org/index.php/Arkyiai_power_station,,,,L103523,,,Subcritical,
China,China,TBD,Gwayi Shanghai Coal Plant (1200MW),1200,,,,,,,,1/1/2000,2100,Sub-Saharan Africa,Zimbabwe,,Shanghai Electric,#N/A,,,,,Coal Power Plant,Coal Power,-20.17,28.58,,PH334.01,https://www.gem.wiki/Gwayi_power_station_(Shanghai),,,,,,,,,
China (EPC),China,PowerChina,Tevshiin Gobi Coal Plant (600MW),600,"$1,000,000,000 ",,,"$1,000,000,000 ",,,,1/1/2000,2100,Europe & Central Asia,Mongolia,Dundgovi Province,Mogul Power,,Shandong No 3 Elec Power Constr Co (SEPCO3) ,,,,Coal Power Plant,Coal Power Plant - New,45.766667,106.283333,exact,PH158.01,https://www.gem.wiki/Tevshiin_Gobi_power_station,http://www.newtearoad.com/Article.php?id=2615,http://www.prnewswire.com/news-releases/firebird-and-sepcoiii-execute-joint-development-agreement-for-the-tevshiin-gobi-coal-mine-and-600-megawatt-power-plant-project-300143054.html,,,L103035,,,,
South Korea,South Korea,Export-Import Bank of Korea (Kexim),Jorf Lasfar Coal-fired Power Plant (348MW),348,"$350,000,000 ",,,,,,,4/20/2012,2012,Middle East & North Africa,Morocco,,Daewoo E&C and Mitsui & Co,#N/A,,,,,Coal Power Plant,Coal Power Plant - New,,,,,,http://www.koreaexim.go.kr/en/bbs/noti/view.jsp?no=10452&bbs_code_id=1316753474007&bbs_code_tp=BBS_2&req_pg=2;,http://www.tradefinancemagazine.com/Article/3165573/Search/Results/Jorf-LasfarECA-project-financing.html?Keywords=kexim+coal,"SFOC  (2018) report has 308 million USD in KEXIM financing for this project, but discrepancy likely due to a change in exchange rates",,,,,,
Japan,Japan,Nippon Export and Investment Insurance (NEXI),Jorf Lasfar Coal-fired Power Plant (348MW),348,"$144,990,827 ",,,,,,,6/21/2012,2012,Middle East & North Africa,Morocco,,"BNP Paribas Tokyo Branch, Standard Chartered Bank Tokyo Branch, and Societe Generale Tokyo Branch",#N/A,,,,,Coal Power Plant,Coal - Policy,,,,,,http://nexi.go.jp/topics/en/newsrelease/004421.html,http://www.allenovery.com/news/en-gb/articles/Pages/USD1-4bn-project-financing-of-the-Jorf-Lasfar-power-plant-expansion.aspx,,,,,,,
Japan,Japan,Japan Bank for International Cooperation (JBIC),Jorf Lasfar Coal-fired Power Plant (348MW),348,"$216,000,000 ",,,,,,,6/21/2012,2012,Middle East & North Africa,Morocco,,"Tokyo branches of BNP Paribas Bank (leading agent), Standard Chartered Bank and Societe Generale Bank",#N/A,,,,,Coal Power Plant,Coal Power Plant - New,,,,,,https://www.jbic.go.jp/en/information/press/press-2012/0621-7419,"http://sekitan.jp/jbic/wp-content/uploads/2014/01/Lists-of-Approved-Coal-Investments-by-JBIC-April-2015.pdf
http://www.jlec.ma/en/jlec.aspx?m=6&r=93 ",,,,,,,
China,China,Export Import Bank of China (Chexim),Jerada Coal-Fired Power Plant (350),350,"$360,000,000 ",,,,,,,7/26/2013,2013,Middle East & North Africa,Morocco,,Sepco III,"ONEE, SEPCO III",,,,,Coal Power Plant,Coal Power Plant - New,34.3095035,-2.1904519,exact,PH073.01,http://bit.ly/1howpx9,http://news.xinhuanet.com/english/africa/2013-07/26/c_132577824.htm,http://news.xinhuanet.com/english/africa/2013-07/26/c_132577824.htm,,,L103057,,2017,Supercritical,
Japan,Japan,Japan Bank for International Cooperation (JBIC),Safi Coal-Fired Power Plant (1386MW),1386,"$906,675,800 ",,,,,,,9/19/2014,2014,Middle East & North Africa,Morocco,,Safi Energy Company S.A. AND Nareva Holding S.A. (Nareva),"Engie, Mitsui, Nareva Holding",,,Hitachi Ltd (HITACHI),Ishikawajima-Harima Heavy Industries (IHI),Coal Power Plant,Coal Power Plant - New,32.1491154,-9.2822943,,PH141.01,http://bit.ly/1wLW44Y,https://www.jbic.go.jp/en/information/press/press-2014/0919-29158,http://sekitan.jp/jbic/wp-content/uploads/2014/01/Lists-of-Approved-Coal-Investments-by-JBIC-April-2015.pdf,,,L103053,,2018,Ultrasupercritical,
Japan,Japan,Nippon Export and Investment Insurance (NEXI),Safi Coal-Fired Power Plant (1386MW),1386,"$483,630,308 ",,,,,,,9/19/2014,2014,Middle East & North Africa,Morocco,,"The Bank of Tokyo-Mitsubishi UFJ, Ltd., Sumitomo Mitsui Banking Corporation, The Mizuho Bank Ltd., Sumitomo Mitsui Trust Bank, Limited, and Islamic Development Bank","Engie, Mitsui, Nareva Holding",,,Hitachi Ltd (HITACHI),Ishikawajima-Harima Heavy Industries (IHI),Coal Power Plant,Coal Power Plant - New,32.1491154,-9.2822943,,PH141.01,http://bit.ly/1wLW44Y,http://nexi.go.jp/topics/newsrelease/005476.html,,,,L103053,,2018,Ultrasupercritical,
China,China,Export Import Bank of China (Chexim),Jerada Coal-Fired Power Plant (350),350,"$300,000,000 ",,,,,,,9/1/2014,2014,Middle East & North Africa,Morocco,,Office National de l‰ÛªElectricitÌ©,"ONEE, SEPCO III",,,,,Coal Power Plant,Coal Power Plant - Existing,34.3095035,-2.1904519,exact,PH073.01,http://bit.ly/1howpx9,http://www.sourcewatch.org/index.php/Jerada_power_station,http://climatepolicyinitiative.org/wp-content/uploads/2015/11/Slowing-the-Growth-of-Coal-Power-Outside-China.pdf,,,L103057,,2017,Supercritical,
